地域コード,都道府県,市区町村
R23231,愛知県,田原市
R23232,愛知県,愛西市
R23233,愛知県,清須市
R23234,愛知県,北名古屋市
R23235,愛知県,弥富市
R23236,愛知県,みよし市
R23237,愛知県,あま市
R23238,愛知県,長久手市
R23302,愛知県,東郷町
R23342,愛知県,豊山町
R23361,愛知県,大口町
R23362,愛知県,扶桑町
R23424,愛知県,大治町
R23425,愛知県,蟹江町
R23427,愛知県,飛島村
R23441,愛知県,阿久比町
R23442,愛知県,東浦町
R23445,愛知県,南知多町
R23446,愛知県,美浜町
R23447,愛知県,武豊町
R23501,愛知県,幸田町
R23561,愛知県,設楽町
R23562,愛知県,東栄町
R23563,愛知県,豊根村
R24201,三重県,津市
R24202,三重県,四日市市
R24203,三重県,伊勢市
R24204,三重県,松阪市
R24205,三重県,桑名市
R24207,三重県,鈴鹿市
R24208,三重県,名張市
R24209,三重県,尾鷲市
R24210,三重県,亀山市
R24211,三重県,鳥羽市
R24212,三重県,熊野市
R24214,三重県,いなべ市
R24215,三重県,志摩市
R24216,三重県,伊賀市
R24303,三重県,木曽岬町
R24324,三重県,東員町
R24341,三重県,菰野町
R24343,三重県,朝日町
R24344,三重県,川越町
R24441,三重県,多気町
R24442,三重県,明和町
R24443,三重県,大台町
R24461,三重県,玉城町
R24470,三重県,度会町
R24471,三重県,大紀町
R24472,三重県,南伊勢町
R24543,三重県,紀北町
R24561,三重県,御浜町
R24562,三重県,紀宝町
R25201,滋賀県,大津市
R25202,滋賀県,彦根市
R25203,滋賀県,長浜市
R25204,滋賀県,近江八幡市
R25206,滋賀県,草津市
R25207,滋賀県,守山市
R25208,滋賀県,栗東市
R25209,滋賀県,甲賀市
R25210,滋賀県,野洲市
R25211,滋賀県,湖南市
R25212,滋賀県,高島市
R25213,滋賀県,東近江市
R25214,滋賀県,米原市
R25383,滋賀県,日野町
R25384,滋賀県,竜王町
R25425,滋賀県,愛荘町
R25441,滋賀県,豊郷町
R25442,滋賀県,甲良町
R25443,滋賀県,多賀町
R26100,京都府,京都市
R26201,京都府,福知山市
R26202,京都府,舞鶴市
R26203,京都府,綾部市
R26204,京都府,宇治市
R26205,京都府,宮津市
R26206,京都府,亀岡市
R26207,京都府,城陽市
R26208,京都府,向日市
R26209,京都府,長岡京市
R26210,京都府,八幡市
R26211,京都府,京田辺市
R26212,京都府,京丹後市
R26213,京都府,南丹市
R26214,京都府,木津川市
R26303,京都府,大山崎町
R26322,京都府,久御山町
R26343,京都府,井手町
R26344,京都府,宇治田原町
R26364,京都府,笠置町
R26365,京都府,和束町
R26366,京都府,精華町
R26367,京都府,南山城村
R26407,京都府,京丹波町
R26463,京都府,伊根町
R26465,京都府,与謝野町
R27100,大阪府,大阪市
R27140,大阪府,堺市
R27202,大阪府,岸和田市
R27203,大阪府,豊中市
R27204,大阪府,池田市
R27205,大阪府,吹田市
R27206,大阪府,泉大津市
R27207,大阪府,高槻市
R27208,大阪府,貝塚市
R27209,大阪府,守口市
R27210,大阪府,枚方市
R27211,大阪府,茨木市
R27212,大阪府,八尾市
R27213,大阪府,泉佐野市
R27214,大阪府,富田林市
R27215,大阪府,寝屋川市
R27216,大阪府,河内長野市
R27217,大阪府,松原市
R27218,大阪府,大東市
R27219,大阪府,和泉市
R27220,大阪府,箕面市
R27221,大阪府,柏原市
R27222,大阪府,羽曳野市
R27223,大阪府,門真市
R27224,大阪府,摂津市
R27225,大阪府,高石市
R27226,大阪府,藤井寺市
R27227,大阪府,東大阪市
R27228,大阪府,泉南市
R27229,大阪府,四條畷市
R27230,大阪府,交野市
R27231,大阪府,大阪狭山市
R27232,大阪府,阪南市
R27301,大阪府,島本町
R27321,大阪府,豊能町
R27322,大阪府,能勢町
R27341,大阪府,忠岡町
R27361,大阪府,熊取町
R27362,大阪府,田尻町
R27366,大阪府,岬町
R27381,大阪府,太子町
R27382,大阪府,河南町
R27383,大阪府,千早赤阪村
R28100,兵庫県,神戸市
R28201,兵庫県,姫路市
R28202,兵庫県,尼崎市
R28203,兵庫県,明石市
R28204,兵庫県,西宮市
R28205,兵庫県,洲本市
R28206,兵庫県,芦屋市
R28207,兵庫県,伊丹市
R28208,兵庫県,相生市
R28209,兵庫県,豊岡市
R28210,兵庫県,加古川市
R28212,兵庫県,赤穂市
R28213,兵庫県,西脇市
R28214,兵庫県,宝塚市
R28215,兵庫県,三木市
R28216,兵庫県,高砂市
R28217,兵庫県,川西市
R28218,兵庫県,小野市
R28219,兵庫県,三田市
R28220,兵庫県,加西市
R28221,兵庫県,篠山市
R28222,兵庫県,養父市
R28223,兵庫県,丹波市
R28224,兵庫県,南あわじ市
R28225,兵庫県,朝来市
R28226,兵庫県,淡路市
R28227,兵庫県,宍粟市
R28228,兵庫県,加東市
R28229,兵庫県,たつの市
R28301,兵庫県,猪名川町
R28365,兵庫県,多可町
R28381,兵庫県,稲美町
R28382,兵庫県,播磨町
R28442,兵庫県,市川町
R28443,兵庫県,福崎町
R28446,兵庫県,神河町
R28464,兵庫県,太子町
R28481,兵庫県,上郡町
R28501,兵庫県,佐用町
R28585,兵庫県,香美町
R28586,兵庫県,新温泉町
R29201,奈良県,奈良市
R29202,奈良県,大和高田市
R29203,奈良県,大和郡山市
R29204,奈良県,天理市
R29205,奈良県,橿原市
R29206,奈良県,桜井市
R29207,奈良県,五條市
R29208,奈良県,御所市
R29209,奈良県,生駒市
R29210,奈良県,香芝市
R29211,奈良県,葛城市
R29212,奈良県,宇陀市
R29322,奈良県,山添村
R29342,奈良県,平群町
R29343,奈良県,三郷町
R29344,奈良県,斑鳩町
R29345,奈良県,安堵町
R29361,奈良県,川西町
R29362,奈良県,三宅町
R29363,奈良県,田原本町
R29385,奈良県,曽爾村
R29386,奈良県,御杖村
R29401,奈良県,高取町
R29402,奈良県,明日香村
R29424,奈良県,上牧町
R29425,奈良県,王寺町
R29426,奈良県,広陵町
R29427,奈良県,河合町
R29441,奈良県,吉野町
R29442,奈良県,大淀町
R29443,奈良県,下市町
R29444,奈良県,黒滝村
R29446,奈良県,天川村
R29447,奈良県,野迫川村
R29449,奈良県,十津川村
R29450,奈良県,下北山村
R29451,奈良県,上北山村
R29452,奈良県,川上村
R29453,奈良県,東吉野村
R30201,和歌山県,和歌山市
R30202,和歌山県,海南市
R30203,和歌山県,橋本市
R30204,和歌山県,有田市
R30205,和歌山県,御坊市
R30206,和歌山県,田辺市
R30207,和歌山県,新宮市
R30208,和歌山県,紀の川市
R30209,和歌山県,岩出市
R30304,和歌山県,紀美野町
R30341,和歌山県,かつらぎ町
R30343,和歌山県,九度山町
R30344,和歌山県,高野町
R30361,和歌山県,湯浅町
R30362,和歌山県,広川町
R30366,和歌山県,有田川町
R30381,和歌山県,美浜町
R30382,和歌山県,日高町
R30383,和歌山県,由良町
R30390,和歌山県,印南町
R30391,和歌山県,みなべ町
R30392,和歌山県,日高川町
R30401,和歌山県,白浜町
R30404,和歌山県,上富田町
R30406,和歌山県,すさみ町
R30421,和歌山県,那智勝浦町
R30422,和歌山県,太地町
R30424,和歌山県,古座川町
R30427,和歌山県,北山村
R30428,和歌山県,串本町
R31201,鳥取県,鳥取市
R31202,鳥取県,米子市
R31203,鳥取県,倉吉市
R31204,鳥取県,境港市
R31302,鳥取県,岩美町
R31325,鳥取県,若桜町
R31328,鳥取県,智頭町
R31329,鳥取県,八頭町
R31364,鳥取県,三朝町
R31370,鳥取県,湯梨浜町
R31371,鳥取県,琴浦町
R31372,鳥取県,北栄町
R31384,鳥取県,日吉津村
R31386,鳥取県,大山町
R31389,鳥取県,南部町
R31390,鳥取県,伯耆町
R31401,鳥取県,日南町
R31402,鳥取県,日野町
R31403,鳥取県,江府町
R32201,島根県,松江市
R32202,島根県,浜田市
R32203,島根県,出雲市
R32204,島根県,益田市
R32205,島根県,大田市
R32206,島根県,安来市
R32207,島根県,江津市
R32209,島根県,雲南市
R32343,島根県,奥出雲町
R32386,島根県,飯南町
R32441,島根県,川本町
R32448,島根県,美郷町
R32449,島根県,邑南町
R32501,島根県,津和野町
R32505,島根県,吉賀町
R32525,島根県,海士町
R32526,島根県,西ノ島町
R32527,島根県,知夫村
R32528,島根県,隠岐の島町
R33100,岡山県,岡山市
R33202,岡山県,倉敷市
R33203,岡山県,津山市
R33204,岡山県,玉野市
R33205,岡山県,笠岡市
R33207,岡山県,井原市
R33208,岡山県,総社市
R33209,岡山県,高梁市
R33210,岡山県,新見市
R33211,岡山県,備前市
R33212,岡山県,瀬戸内市
R33213,岡山県,赤磐市
R33214,岡山県,真庭市
R33215,岡山県,美作市
R33216,岡山県,浅口市
R33346,岡山県,和気町
R33423,岡山県,早島町
R33445,岡山県,里庄町
R33461,岡山県,矢掛町
R33586,岡山県,新庄村
R33606,岡山県,鏡野町
R33622,岡山県,勝央町
R33623,岡山県,奈義町
R33643,岡山県,西粟倉村
R33663,岡山県,久米南町
R33666,岡山県,美咲町
R33681,岡山県,吉備中央町
R34100,広島県,広島市
R34202,広島県,呉市
R34203,広島県,竹原市
R34204,広島県,三原市
R34205,広島県,尾道市
R34207,広島県,福山市
R34208,広島県,府中市
R34209,広島県,三次市
R34210,広島県,庄原市
R34211,広島県,大竹市
R34212,広島県,東広島市
R34213,広島県,廿日市市
R34214,広島県,安芸高田市
R34215,広島県,江田島市
R34302,広島県,府中町
R34304,広島県,海田町
R34307,広島県,熊野町
R34309,広島県,坂町
R34368,広島県,安芸太田町
R34369,広島県,北広島町
R34431,広島県,大崎上島町
R34462,広島県,世羅町
R34545,広島県,神石高原町
R35201,山口県,下関市
R35202,山口県,宇部市
R35203,山口県,山口市
R35204,山口県,萩市
R35206,山口県,防府市
R35207,山口県,下松市
R35208,山口県,岩国市
R35210,山口県,光市
R35211,山口県,長門市
R35212,山口県,柳井市
R35213,山口県,美祢市
R35215,山口県,周南市
R35216,山口県,山陽小野田市
R35305,山口県,周防大島町
R35321,山口県,和木町
R35341,山口県,上関町
R35343,山口県,田布施町
R35344,山口県,平生町
R35502,山口県,阿武町
R36201,徳島県,徳島市
R36202,徳島県,鳴門市
R36203,徳島県,小松島市
R36204,徳島県,阿南市
R36205,徳島県,吉野川市
R36206,徳島県,阿波市
R36207,徳島県,美馬市
R36208,徳島県,三好市
R36301,徳島県,勝浦町
R36302,徳島県,上勝町
R36321,徳島県,佐那河内村
R36341,徳島県,石井町
R36342,徳島県,神山町
R36368,徳島県,那賀町
R36383,徳島県,牟岐町
R36387,徳島県,美波町
R36388,徳島県,海陽町
R36401,徳島県,松茂町
R36402,徳島県,北島町
R36403,徳島県,藍住町
R36404,徳島県,板野町
R36405,徳島県,上板町
R36468,徳島県,つるぎ町
R36489,徳島県,東みよし町
R37201,香川県,高松市
R37202,香川県,丸亀市
R37203,香川県,坂出市
R37204,香川県,善通寺市
R37205,香川県,観音寺市
R37206,香川県,さぬき市
R37207,香川県,東かがわ市
R37208,香川県,三豊市
R37322,香川県,土庄町
R37324,香川県,小豆島町
R37341,香川県,三木町
R37364,香川県,直島町
R37386,香川県,宇多津町
R37387,香川県,綾川町
R37403,香川県,琴平町
R37404,香川県,多度津町
R37406,香川県,まんのう町
R38201,愛媛県,松山市
R38202,愛媛県,今治市
R38203,愛媛県,宇和島市
R38204,愛媛県,八幡浜市
R38205,愛媛県,新居浜市
R38206,愛媛県,西条市
R38207,愛媛県,大洲市
R38210,愛媛県,伊予市
R38213,愛媛県,四国中央市
R38214,愛媛県,西予市
R38215,愛媛県,東温市
R38356,愛媛県,上島町
R38386,愛媛県,久万高原町
R38401,愛媛県,松前町
R38402,愛媛県,砥部町
R38422,愛媛県,内子町
R38442,愛媛県,伊方町
R38484,愛媛県,松野町
R38488,愛媛県,鬼北町
R38506,愛媛県,愛南町
R39201,高知県,高知市
R39202,高知県,室戸市
R39203,高知県,安芸市
R39204,高知県,南国市
R39205,高知県,土佐市
R39206,高知県,須崎市
R39208,高知県,宿毛市
R39209,高知県,土佐清水市
R39210,高知県,四万十市
R39211,高知県,香南市
R39212,高知県,香美市
R39301,高知県,東洋町
R39302,高知県,奈半利町
R39303,高知県,田野町
R39304,高知県,安田町
R39305,高知県,北川村
R39306,高知県,馬路村
R39307,高知県,芸西村
R39341,高知県,本山町
R39344,高知県,大豊町
R39363,高知県,土佐町
R39364,高知県,大川村
R39386,高知県,いの町
R39387,高知県,仁淀川町
R39401,高知県,中土佐町
R39402,高知県,佐川町
R39403,高知県,越知町
R39405,高知県,檮原町
R39410,高知県,日高村
R39411,高知県,津野町
R39412,高知県,四万十町
R39424,高知県,大月町
R39427,高知県,三原村
R39428,高知県,黒潮町
R40100,福岡県,北九州市
R40130,福岡県,福岡市
R40202,福岡県,大牟田市
R40203,福岡県,久留米市
R40204,福岡県,直方市
R40205,福岡県,飯塚市
R40206,福岡県,田川市
R40207,福岡県,柳川市
R40210,福岡県,八女市
R40211,福岡県,筑後市
R40212,福岡県,大川市
R40213,福岡県,行橋市
R40214,福岡県,豊前市
R40215,福岡県,中間市
R40216,福岡県,小郡市
R40217,福岡県,筑紫野市
R40218,福岡県,春日市
R40219,福岡県,大野城市
R40220,福岡県,宗像市
R40221,福岡県,太宰府市
R40223,福岡県,古賀市
R40224,福岡県,福津市
R40225,福岡県,うきは市
R40226,福岡県,宮若市
R40227,福岡県,嘉麻市
R40228,福岡県,朝倉市
R40229,福岡県,みやま市
R40230,福岡県,糸島市
R40231,福岡県,那珂川市
R40305,福岡県,那珂川町
R40341,福岡県,宇美町
R40342,福岡県,篠栗町
R40343,福岡県,志免町
R40344,福岡県,須恵町
R40345,福岡県,新宮町
R40348,福岡県,久山町
R40349,福岡県,粕屋町
R40381,福岡県,芦屋町
R40382,福岡県,水巻町
R40383,福岡県,岡垣町
R40384,福岡県,遠賀町
R40401,福岡県,小竹町
R40402,福岡県,鞍手町
R40421,福岡県,桂川町
R40447,福岡県,筑前町
R40448,福岡県,東峰村
R40503,福岡県,大刀洗町
R40522,福岡県,大木町
R40544,福岡県,広川町
R40601,福岡県,香春町
R40602,福岡県,添田町
R40604,福岡県,糸田町
R40605,福岡県,川崎町
R40608,福岡県,大任町
R40609,福岡県,赤村
R40610,福岡県,福智町
R40621,福岡県,苅田町
R40625,福岡県,みやこ町
R40642,福岡県,吉富町
R40646,福岡県,上毛町
R40647,福岡県,築上町
R41201,佐賀県,佐賀市
R41202,佐賀県,唐津市
R41203,佐賀県,鳥栖市
R41204,佐賀県,多久市
R41205,佐賀県,伊万里市
R41206,佐賀県,武雄市
R41207,佐賀県,鹿島市
R41208,佐賀県,小城市
R41209,佐賀県,嬉野市
R41210,佐賀県,神埼市
R41327,佐賀県,吉野ヶ里町
R41341,佐賀県,基山町
R41345,佐賀県,上峰町
R41346,佐賀県,みやき町
R41387,佐賀県,玄海町
R41401,佐賀県,有田町
R41423,佐賀県,大町町
R41424,佐賀県,江北町
R41425,佐賀県,白石町
R41441,佐賀県,太良町
R42201,長崎県,長崎市
R42202,長崎県,佐世保市
R42203,長崎県,島原市
R42204,長崎県,諫早市
R42205,長崎県,大村市
R42207,長崎県,平戸市
R42208,長崎県,松浦市
R42209,長崎県,対馬市
R42210,長崎県,壱岐市
R42211,長崎県,五島市
R42212,長崎県,西海市
R42213,長崎県,雲仙市
R42214,長崎県,南島原市
R42307,長崎県,長与町
R42308,長崎県,時津町
R42321,長崎県,東彼杵町
R42322,長崎県,川棚町
R42323,長崎県,波佐見町
R42383,長崎県,小値賀町
R42391,長崎県,佐々町
R42411,長崎県,新上五島町
R43100,熊本県,熊本市
R43202,熊本県,八代市
R43203,熊本県,人吉市
R43204,熊本県,荒尾市
R43205,熊本県,水俣市
R43206,熊本県,玉名市
R43208,熊本県,山鹿市
R43210,熊本県,菊池市
R43211,熊本県,宇土市
R43212,熊本県,上天草市
R43213,熊本県,宇城市
R43214,熊本県,阿蘇市
R43215,熊本県,天草市
R43216,熊本県,合志市
R43348,熊本県,美里町
R43364,熊本県,玉東町
R43367,熊本県,南関町
R43368,熊本県,長洲町
R43369,熊本県,和水町
R43403,熊本県,大津町
R43404,熊本県,菊陽町
R43423,熊本県,南小国町
R43424,熊本県,小国町
R43425,熊本県,産山村
R43428,熊本県,高森町
R43432,熊本県,西原村
R43433,熊本県,南阿蘇村
R43441,熊本県,御船町
R43442,熊本県,嘉島町
R43443,熊本県,益城町
R43444,熊本県,甲佐町
R43447,熊本県,山都町
R43468,熊本県,氷川町
R43482,熊本県,芦北町
R43484,熊本県,津奈木町
R43501,熊本県,錦町
R43505,熊本県,多良木町
R43506,熊本県,湯前町
R43507,熊本県,水上村
R43510,熊本県,相良村
R43511,熊本県,五木村
R43512,熊本県,山江村
R43513,熊本県,球磨村
R43514,熊本県,あさぎり町
R43531,熊本県,苓北町
R44201,大分県,大分市
R44202,大分県,別府市
R44203,大分県,中津市
R44204,大分県,日田市
R44205,大分県,佐伯市
R44206,大分県,臼杵市
R44207,大分県,津久見市
R44208,大分県,竹田市
R44209,大分県,豊後高田市
R44210,大分県,杵築市
R44211,大分県,宇佐市
R44212,大分県,豊後大野市
R44213,大分県,由布市
R44214,大分県,国東市
R44322,大分県,姫島村
R44341,大分県,日出町
R44461,大分県,九重町
R44462,大分県,玖珠町
R45201,宮崎県,宮崎市
R45202,宮崎県,都城市
R45203,宮崎県,延岡市
R45204,宮崎県,日南市
R45205,宮崎県,小林市
R45206,宮崎県,日向市
R45207,宮崎県,串間市
R45208,宮崎県,西都市
R45209,宮崎県,えびの市
R45341,宮崎県,三股町
R45361,宮崎県,高原町
R45382,宮崎県,国富町
R45383,宮崎県,綾町
R45401,宮崎県,高鍋町
R45402,宮崎県,新富町
R45403,宮崎県,西米良村
R45404,宮崎県,木城町
R45405,宮崎県,川南町
R45406,宮崎県,都農町
R45421,宮崎県,門川町
R45429,宮崎県,諸塚村
R45430,宮崎県,椎葉村
R45431,宮崎県,美郷町
R45441,宮崎県,高千穂町
R45442,宮崎県,日之影町
R45443,宮崎県,五ヶ瀬町
R46201,鹿児島県,鹿児島市
R46203,鹿児島県,鹿屋市
R46204,鹿児島県,枕崎市
R46206,鹿児島県,阿久根市
R46208,鹿児島県,出水市
R46210,鹿児島県,指宿市
R46213,鹿児島県,西之表市
R46214,鹿児島県,垂水市
R46215,鹿児島県,薩摩川内市
R46216,鹿児島県,日置市
R46217,鹿児島県,曽於市
R46218,鹿児島県,霧島市
R46219,鹿児島県,いちき串木野市
R46220,鹿児島県,南さつま市
R46221,鹿児島県,志布志市
R46222,鹿児島県,奄美市
R46223,鹿児島県,南九州市
R46224,鹿児島県,伊佐市
R46225,鹿児島県,姶良市
R46303,鹿児島県,三島村
R46304,鹿児島県,十島村
R46392,鹿児島県,さつま町
R46404,鹿児島県,長島町
R46452,鹿児島県,湧水町
R46468,鹿児島県,大崎町
R46482,鹿児島県,東串良町
R46490,鹿児島県,錦江町
R46491,鹿児島県,南大隅町
R46492,鹿児島県,肝付町
R46501,鹿児島県,中種子町
R46502,鹿児島県,南種子町
R46505,鹿児島県,屋久島町
R46523,鹿児島県,大和村
R46524,鹿児島県,宇検村
R46525,鹿児島県,瀬戸内町
R46527,鹿児島県,龍郷町
R46529,鹿児島県,喜界町
R46530,鹿児島県,徳之島町
R46531,鹿児島県,天城町
R46532,鹿児島県,伊仙町
R46533,鹿児島県,和泊町
R46534,鹿児島県,知名町
R46535,鹿児島県,与論町
R47201,沖縄県,那覇市
R47205,沖縄県,宜野湾市
R47207,沖縄県,石垣市
R47208,沖縄県,浦添市
R47209,沖縄県,名護市
R47210,沖縄県,糸満市
R47211,沖縄県,沖縄市
R47212,沖縄県,豊見城市
R47213,沖縄県,うるま市
R47214,沖縄県,宮古島市
R47215,沖縄県,南城市
R47301,沖縄県,国頭村
R47302,沖縄県,大宜味村
R47303,沖縄県,東村
R47306,沖縄県,今帰仁村
R47308,沖縄県,本部町
R47311,沖縄県,恩納村
R47313,沖縄県,宜野座村
R47314,沖縄県,金武町
R47315,沖縄県,伊江村
R47324,沖縄県,読谷村
R47325,沖縄県,嘉手納町
R47326,沖縄県,北谷町
R47327,沖縄県,北中城村
R47328,沖縄県,中城村
R47329,沖縄県,西原町
R47348,沖縄県,与那原町
R47350,沖縄県,南風原町
R47353,沖縄県,渡嘉敷村
R47354,沖縄県,座間味村
R47355,沖縄県,粟国村
R47356,沖縄県,渡名喜村
R47357,沖縄県,南大東村
R47358,沖縄県,北大東村
R47359,沖縄県,伊平屋村
R47360,沖縄県,伊是名村
R47361,沖縄県,久米島町
R47362,沖縄県,八重瀬町
R47375,沖縄県,多良間村
R47381,沖縄県,竹富町
R47382,沖縄県,与那国町
